Data,Previsao de casos
2024-11-03,4591.4155
2024-11-10,4634.717
2024-11-17,4728.551
2024-11-24,4837.8467
2024-12-01,4974.1245
2024-12-08,5107.387
2024-12-15,5234.7544
2024-12-22,5357.706
2024-12-29,5484.4043
2025-01-05,5612.9
2025-01-12,5736.7075
2025-01-19,5856.693
2025-01-26,5972.6416
2025-02-02,6085.6357
2025-02-09,6195.612
2025-02-16,6302.0254
2025-02-23,6404.438
2025-03-02,6503.1343
2025-03-09,6598.446
2025-03-16,6690.3604
2025-03-23,6778.908
2025-03-30,6864.1084
2025-04-06,6946.071
2025-04-13,7024.93
2025-04-20,7100.7993
2025-04-27,7173.4375
2025-05-04,7243.099
2025-05-11,7309.89
2025-05-18,7373.896
2025-05-25,7435.204
2025-06-01,7493.901
2025-06-08,7550.0728
2025-06-15,7603.8286
2025-06-22,7655.267
2025-06-29,7704.4683
2025-07-06,7751.5244
2025-07-13,7796.0786
2025-07-20,7838.487
2025-07-27,7878.823
2025-08-03,7917.0713
2025-08-10,7953.304
2025-08-17,7987.618
2025-08-24,8020.0874
2025-08-31,8050.8115
2025-09-07,8079.872
2025-09-14,8107.3345
2025-09-21,8133.281
2025-09-28,8157.7993
2025-10-05,8180.964
2025-10-12,8202.841
2025-10-19,8223.498
2025-10-26,8243.001
