Epi_Date,Epi_Year,Epi_Week,Number
2021-01-11,2021,2,26675
2021-01-18,2021,3,30976
2021-01-25,2021,4,30338
2021-02-01,2021,5,31220
2021-02-08,2021,6,32690
2021-02-15,2021,7,36622
2021-02-22,2021,8,45488
2021-03-01,2021,9,54299
2021-03-08,2021,10,64299
2021-03-15,2021,11,72457
2021-03-22,2021,12,72877
2021-03-29,2021,13,64635
2021-04-05,2021,14,62804
2021-04-12,2021,15,57811
2021-04-19,2021,16,52084
2021-04-26,2021,17,51416
2021-05-03,2021,18,50869
2021-05-10,2021,19,52827
2021-05-17,2021,20,57779
2021-05-24,2021,21,59869
2021-05-31,2021,22,56437
2021-06-07,2021,23,56525
2021-06-14,2021,24,50481
2021-06-21,2021,25,45217
2021-06-28,2021,26,39523
2021-07-05,2021,27,35707
2021-07-12,2021,28,33858
2021-07-19,2021,29,29924
2021-07-26,2021,30,26825
2021-08-02,2021,31,24472
2021-08-09,2021,32,23887
2021-08-16,2021,33,22308
2021-08-23,2021,34,20092
2021-08-30,2021,35,18001
2021-09-06,2021,36,16535
2021-09-13,2021,37,16375
2021-09-20,2021,38,15486
2021-09-27,2021,39,14878
2021-10-04,2021,40,13757
2021-10-11,2021,41,11796
2021-10-18,2021,42,11395
2021-10-25,2021,43,11527
2021-11-01,2021,44,10637
2021-11-08,2021,45,10420
2021-11-15,2021,46,10359
2021-11-22,2021,47,10516
2021-11-29,2021,48,10493
2021-12-06,2021,49,10079
2021-12-13,2021,50,12028
2021-12-20,2021,51,13683
2021-12-27,2021,52,15205
2022-01-03,2022,1,11449
2022-01-10,2022,2,25109
2022-01-17,2022,3,32242
2022-01-24,2022,4,33101
2022-01-31,2022,5,27679
2022-02-07,2022,6,22128
2022-02-14,2022,7,17491
2022-02-21,2022,8,13835
2022-02-28,2022,9,10361
2022-03-07,2022,10,9621
2022-03-14,2022,11,8869
2022-03-21,2022,12,8248
2022-03-28,2022,13,7875
2022-04-04,2022,14,7302
2022-04-11,2022,15,6845
2022-04-18,2022,16,7279
2022-04-25,2022,17,8219
2022-05-02,2022,18,7619
2022-05-09,2022,19,8619
2022-05-16,2022,20,9714
2022-05-23,2022,21,11220
2022-05-30,2022,22,12523
2022-06-06,2022,23,13255
2022-06-13,2022,24,12789
2022-06-20,2022,25,15094
2022-06-27,2022,26,14902
2022-07-04,2022,27,14175
2022-07-11,2022,28,12874
2022-07-18,2022,29,10575
2022-07-25,2022,30,8555
2022-08-01,2022,31,7501
2022-08-08,2022,32,7014
2022-08-15,2022,33,6701
2022-08-22,2022,34,6299
2022-08-29,2022,35,5834
2022-09-05,2022,36,5032
2022-09-12,2022,37,5038
2022-09-19,2022,38,5031
2022-09-26,2022,39,4908
2022-10-03,2022,40,4831
2022-10-10,2022,41,4388
2022-10-17,2022,42,4862
2022-10-24,2022,43,4655
2022-10-31,2022,44,4431
2022-11-07,2022,45,6148
2022-11-14,2022,46,8093
2022-11-21,2022,47,9497
2022-11-28,2022,48,9584
2022-12-05,2022,49,9177
2022-12-12,2022,50,9375
2022-12-19,2022,51,8108
2022-12-26,2022,52,7056
2023-01-02,2023,1,3050
2023-01-09,2023,2,4455
2023-01-16,2023,3,3987
2023-01-23,2023,4,3801
2023-01-30,2023,5,3804
2023-02-06,2023,6,4468
2023-02-13,2023,7,5497
2023-02-20,2023,8,5479
2023-02-27,2023,9,5995
2023-03-06,2023,10,6176
2023-03-13,2023,11,6546
2023-03-20,2023,12,7070
2023-03-27,2023,13,7355
2023-04-03,2023,14,6367
2023-04-10,2023,15,7587
2023-04-17,2023,16,7010
2023-04-24,2023,17,7846
2023-05-01,2023,18,7082
2023-05-08,2023,19,7598
2023-05-15,2023,20,8051
2023-05-22,2023,21,8228
2023-05-29,2023,22,7764
2023-06-05,2023,23,6595
2023-06-12,2023,24,6958
2023-06-19,2023,25,6517
2023-06-26,2023,26,6339
2023-07-03,2023,27,5800
2023-07-10,2023,28,5714
2023-07-17,2023,29,5017
2023-07-24,2023,30,4433
2023-07-31,2023,31,4255
2023-08-07,2023,32,4356
2023-08-14,2023,33,4531
2023-08-21,2023,34,4635
2023-08-28,2023,35,4305
2023-09-04,2023,36,3935
2023-09-11,2023,37,4492
2023-09-18,2023,38,4523
2023-09-25,2023,39,4484
2023-10-02,2023,40,4490
2023-10-09,2023,41,4289
2023-10-16,2023,42,4878
2023-10-23,2023,43,5182
2023-10-30,2023,44,4420
2023-11-06,2023,45,4914
2023-11-13,2023,46,4393
2023-11-20,2023,47,4015
2023-11-27,2023,48,3782
2023-12-04,2023,49,3692
2023-12-11,2023,50,3835
2023-12-18,2023,51,3339
2023-12-25,2023,52,2936
2024-01-01,2024,1,1551
2024-01-08,2024,2,2596
2024-01-15,2024,3,2669
2024-01-22,2024,4,2662
2024-01-29,2024,5,2934
2024-02-05,2024,6,3249
2024-02-12,2024,7,3534
2024-02-19,2024,8,4661
2024-02-26,2024,9,5189
2024-03-04,2024,10,5455
2024-03-11,2024,11,5511
2024-03-18,2024,12,5599
2024-03-25,2024,13,4791
2024-04-01,2024,14,6335
2024-04-08,2024,15,6795
2024-04-15,2024,16,7051
2024-04-22,2024,17,7758
2024-04-29,2024,18,7396
2024-05-06,2024,19,7141
2024-05-13,2024,20,7321
2024-05-20,2024,21,7278
2024-05-27,2024,22,6106
2024-06-03,2024,23,7020
2024-06-10,2024,24,6821
2024-06-17,2024,25,6836
2024-06-24,2024,26,6343
2024-07-01,2024,27,5953
2024-07-08,2024,28,5528
2024-07-15,2024,29,5103
2024-07-22,2024,30,4870
2024-07-29,2024,31,4804
2024-08-05,2024,32,4820
2024-08-12,2024,33,5031
2024-08-19,2024,34,5860
2024-08-26,2024,35,5600
2024-09-02,2024,36,5700
2024-09-09,2024,37,5614
2024-09-16,2024,38,5137
2024-09-23,2024,39,5026
2024-09-30,2024,40,4644
2024-10-07,2024,41,4432
2024-10-14,2024,42,4375
2024-10-21,2024,43,4487
2024-10-28,2024,44,4200
2024-11-04,2024,45,4256
2024-11-11,2024,46,3794
2024-11-18,2024,47,4414
2024-11-25,2024,48,4174
2024-12-02,2024,49,4320
2024-12-09,2024,50,4311
2024-12-16,2024,51,4057
2024-12-23,2024,52,3018
2024-12-30,2025,1,2223
2025-01-06,2025,2,3155
2025-01-13,2025,3,3061
2025-01-20,2025,4,3018
2025-01-27,2025,5,2917
2025-02-03,2025,6,2925
2025-02-10,2025,7,3570
2025-02-17,2025,8,4143
2025-02-24,2025,9,4427
2025-03-03,2025,10,4151
2025-03-10,2025,11,4308
2025-03-17,2025,12,4469
2025-03-24,2025,13,5112
2025-03-31,2025,14,5538
2025-04-07,2025,15,6284
2025-04-14,2025,16,6196
2025-04-21,2025,17,7834
2025-04-28,2025,18,8082
2025-05-05,2025,19,10590
2025-05-12,2025,20,11661
2025-05-19,2025,21,13359
2025-05-26,2025,22,13435
2025-06-02,2025,23,13292
2025-06-09,2025,24,12003
2025-06-16,2025,25,10120
2025-06-23,2025,26,9345
